ID:48.03301529.349127,Latitude:29.349127,TotalMRCount:79,Longitude:48.033015,
ID:48.0366529.330268,Latitude:29.330268,TotalMRCount:132,Longitude:48.03665,
ID:48.04025629.347935,Latitude:29.347935,TotalMRCount:25,Longitude:48.040256,
ID:48.04961929.344535,Latitude:29.344535,TotalMRCount:13,Longitude:48.049619,
ID:48.04076429.330359,Latitude:29.330359,TotalMRCount:971,Longitude:48.040764,
ID:48.04000229.33891,Latitude:29.33891,TotalMRCount:7982,Longitude:48.040002,
ID:48.04087529.344341,Latitude:29.344341,TotalMRCount:461,Longitude:48.040875,
ID:48.03574429.343776,Latitude:29.343776,TotalMRCount:2917,Longitude:48.035744,
ID:48.0328829.336046,Latitude:29.336046,TotalMRCount:10,Longitude:48.03288,
ID:48.03381729.339224,Latitude:29.339224,TotalMRCount:296,Longitude:48.033817,
ID:48.04131729.329018,Latitude:29.329018,TotalMRCount:379,Longitude:48.041317,
ID:48.04276929.332207,Latitude:29.332207,TotalMRCount:3320,Longitude:48.042769,
ID:48.0344129.336531,Latitude:29.336531,TotalMRCount:132,Longitude:48.03441,
ID:48.05121429.342767,Latitude:29.342767,TotalMRCount:6,Longitude:48.051214,
ID:48.04815429.341797,Latitude:29.341797,TotalMRCount:103,Longitude:48.048154,
ID:48.04101829.339384,Latitude:29.339384,TotalMRCount:5661,Longitude:48.041018,
ID:48.04091429.342989,Latitude:29.342989,TotalMRCount:579,Longitude:48.040914,
ID:48.04446229.344872,Latitude:29.344872,TotalMRCount:73,Longitude:48.044462,
ID:48.04487829.33045,Latitude:29.33045,TotalMRCount:7,Longitude:48.044878,
ID:48.03334229.33786,Latitude:29.33786,TotalMRCount:1125,Longitude:48.033342,
ID:48.04517229.338123,Latitude:29.338123,TotalMRCount:363,Longitude:48.045172,
ID:48.0416129.336691,Latitude:29.336691,TotalMRCount:1256,Longitude:48.04161,
ID:48.07322929.346859,Latitude:29.346859,TotalMRCount:4,Longitude:48.073229,
ID:48.03709929.332532,Latitude:29.332532,TotalMRCount:131,Longitude:48.037099,
ID:48.04766529.340884,Latitude:29.340884,TotalMRCount:251,Longitude:48.047665,
ID:48.03269729.342356,Latitude:29.342356,TotalMRCount:513,Longitude:48.032697,
ID:48.03265829.343708,Latitude:29.343708,TotalMRCount:518,Longitude:48.032658,
ID:48.03657129.332972,Latitude:29.332972,TotalMRCount:349,Longitude:48.036571,
ID:48.04913129.343622,Latitude:29.343622,TotalMRCount:13,Longitude:48.049131,
ID:48.03448829.333827,Latitude:29.333827,TotalMRCount:10,Longitude:48.034488,
ID:48.03815929.349242,Latitude:29.349242,TotalMRCount:7,Longitude:48.038159,
ID:48.03879129.345197,Latitude:29.345197,TotalMRCount:1631,Longitude:48.038791,
ID:48.04009329.335756,Latitude:29.335756,TotalMRCount:2246,Longitude:48.040093,
ID:48.04340129.328163,Latitude:29.328163,TotalMRCount:3,Longitude:48.043401,
ID:48.03388229.336971,Latitude:29.336971,TotalMRCount:80,Longitude:48.033882,
ID:48.04146729.341649,Latitude:29.341649,TotalMRCount:3882,Longitude:48.041467,
ID:48.03772329.346526,Latitude:29.346526,TotalMRCount:310,Longitude:48.037723,
ID:48.03062629.342761,Latitude:29.342761,TotalMRCount:286,Longitude:48.030626,
ID:48.04037329.343879,Latitude:29.343879,TotalMRCount:593,Longitude:48.040373,
ID:48.03868729.348802,Latitude:29.348802,TotalMRCount:109,Longitude:48.038687,
ID:48.03435729.338334,Latitude:29.338334,TotalMRCount:1417,Longitude:48.034357,
ID:48.04170129.333537,Latitude:29.333537,TotalMRCount:1251,Longitude:48.041701,
ID:48.038729.348352,Latitude:29.348352,TotalMRCount:48,Longitude:48.0387,
ID:48.03375229.341477,Latitude:29.341477,TotalMRCount:501,Longitude:48.033752,
ID:48.03902629.337085,Latitude:29.337085,TotalMRCount:3094,Longitude:48.039026,
ID:48.03533429.34016,Latitude:29.34016,TotalMRCount:2102,Longitude:48.035334,
ID:48.04129829.347507,Latitude:29.347507,TotalMRCount:25,Longitude:48.041298,
ID:48.04362929.338089,Latitude:29.338089,TotalMRCount:1568,Longitude:48.043629,
ID:48.03815329.331654,Latitude:29.331654,TotalMRCount:12,Longitude:48.038153,
ID:48.03013829.341848,Latitude:29.341848,TotalMRCount:58,Longitude:48.030138,
ID:48.04614829.339949,Latitude:29.339949,TotalMRCount:649,Longitude:48.046148,
ID:48.04096629.341187,Latitude:29.341187,TotalMRCount:2754,Longitude:48.040966,
ID:48.03256629.346862,Latitude:29.346862,TotalMRCount:70,Longitude:48.032566,
ID:48.03372629.342379,Latitude:29.342379,TotalMRCount:3031,Longitude:48.033726,
ID:48.08614129.345338,Latitude:29.345338,TotalMRCount:282,Longitude:48.086141,
ID:48.03359529.346885,Latitude:29.346885,TotalMRCount:27,Longitude:48.033595,
ID:48.03530829.341061,Latitude:29.341061,TotalMRCount:2649,Longitude:48.035308,
ID:48.04616129.339498,Latitude:29.339498,TotalMRCount:260,Longitude:48.046161,
ID:48.03280129.33875,Latitude:29.33875,TotalMRCount:21,Longitude:48.032801,
ID:48.03952729.337547,Latitude:29.337547,TotalMRCount:5398,Longitude:48.039527,
ID:48.03532129.34061,Latitude:29.34061,TotalMRCount:42480,Longitude:48.035321,
ID:48.04392229.345762,Latitude:29.345762,TotalMRCount:349,Longitude:48.043922,
ID:48.04659829.342213,Latitude:29.342213,TotalMRCount:1917,Longitude:48.046598,
ID:48.02955829.34409,Latitude:29.34409,TotalMRCount:573,Longitude:48.029558,
ID:48.03414929.345545,Latitude:29.345545,TotalMRCount:85,Longitude:48.034149,
ID:48.04427329.333594,Latitude:29.333594,TotalMRCount:2907,Longitude:48.044273,
ID:48.04198129.34166,Latitude:29.34166,TotalMRCount:6596,Longitude:48.041981,
ID:48.04258729.338517,Latitude:29.338517,TotalMRCount:2957,Longitude:48.042587,
ID:48.04028929.328996,Latitude:29.328996,TotalMRCount:284,Longitude:48.040289,
ID:48.03461129.347359,Latitude:29.347359,TotalMRCount:32,Longitude:48.034611,
ID:48.04816729.341346,Latitude:29.341346,TotalMRCount:166,Longitude:48.048167,
ID:48.04032129.345682,Latitude:29.345682,TotalMRCount:393,Longitude:48.040321,
ID:48.03757429.333896,Latitude:29.333896,TotalMRCount:717,Longitude:48.037574,
ID:48.046229.338146,Latitude:29.338146,TotalMRCount:421,Longitude:48.0462,
ID:48.03336829.336959,Latitude:29.336959,TotalMRCount:44,Longitude:48.033368,
ID:48.04237929.345728,Latitude:29.345728,TotalMRCount:6158,Longitude:48.042379,
ID:48.04457929.340816,Latitude:29.340816,TotalMRCount:7915,Longitude:48.044579,
ID:48.04757429.344039,Latitude:29.344039,TotalMRCount:416,Longitude:48.047574,
ID:48.03929.337986,Latitude:29.337986,TotalMRCount:6464,Longitude:48.039,
ID:48.03484629.339247,Latitude:29.339247,TotalMRCount:1511,Longitude:48.034846,
ID:48.04334229.348004,Latitude:29.348004,TotalMRCount:11,Longitude:48.043342,
ID:48.03637629.339732,Latitude:29.339732,TotalMRCount:15431,Longitude:48.036376,
